label,youtube_id,time_start,time_end,split
contact juggling,-5CCoLex7gI,117,127,train
breakdancing,-5E7gmuQ1D8,6,16,train
cheerleading,-5EWpX5lfRM,18,28,train
cheerleading,-5Ea_Vj8ohs,68,78,train
squat,-5FBGZLKJIk,8,18,train
pull ups,-5FM8mMJeYc,75,85,train
squat,-5FkRTrnSfE,14,24,train
playing basketball,-5FtgMgevX0,14,24,train
windsurfing,-5HemBLbCrQ,78,88,train
shaking hands,-5IoqELcxSU,138,148,train
playing bass guitar,-5Lb5xpM1ZQ,6,16,train
gargling,-5MAf0cZLFs,521,531,train
archery,-5NN5hdIwTc,36,46,train
playing harp,-5NxigJHFJg,84,94,train
riding elephant,-5O_xxIpooE,42,52,train
playing bagpipes,-5Tu_wiNnmg,32,42,train
feeding birds,-5VuqHbo5nE,4,14,train
blowing out candles,-5WZ2MfBhz8,11,21,train
dancing ballet,-5Yp-vToI2E,68,78,train
riding camel,-5ZUMpdBPyw,20,30,train
grooming horse,-5_ouPNg-x0,101,111,train
mowing lawn,-5a-sqTyPqM,5,15,train
milking cow,-5d8Q_ca7bM,20,30,train
riding scooter,-5hjHtrjrBQ,8,18,train
walking the dog,-5kButbj9OE,36,46,train
building shed,-5o8iLZXPNg,173,183,train
shot put,-5oULXqj45c,3,13,train
doing nails,-5osU3p6ZKw,8,18,train
front raises,-5rZ-3xLUEc,60,70,train
snowmobiling,-5vutCzg7vA,16,26,train
bending back,-5w0UmJ3pkU,5,15,train
celebrating,-5wxo2nzMvM,91,101,train
drop kicking,-5x5wVuCVR0,4,14,train
capoeira,-5xDkBUtWyk,102,112,train
ice skating,-5xF60mTkeY,579,589,train
using computer,-5zeJyQ31rM,19,29,train
bookbinding,-60KGw7ow0k,198,208,train
hula hooping,-66ZsWmWWyY,0,10,train
getting a haircut,-67V07adhh8,39,49,train
hurdling,-68VwvBfeeg,3,13,train
eating watermelon,-6ABBKUFtOY,1,11,train
snowboarding,-6CevYEU9Fw,13,23,train
washing feet,-6F0zYW3gUQ,110,120,train
extinguishing fire,-6J2Clqk394,4,14,train
changing wheel,-6JrhxygJEY,238,248,train
headbanging,-6OUP7kcEaU,4,14,train
waxing legs,-6Q7qX2JKGE,102,112,train
playing ukulele,-6R3wpks5Jg,319,329,train
playing recorder,-6TYsANbjik,1,11,train
playing organ,-6Uat2UGZ9c,1,11,train
canoeing or kayaking,-6VoGglIU3o,20,30,train
walking the dog,-6VzhYhWDMY,5,15,train
waiting in line,-6WxFk6_IUk,3,13,train
country line dancing,-6Xq1psvDW0,71,81,train
air drumming,-6_yubx7iSg,1,11,train
spinning poi,-6audZPiHAE,232,242,train
air drumming,-6b9q-zQnPk,20,30,train
riding camel,-6d7xfYKptE,3,13,train
dodgeball,-6dpMzaBUdM,59,69,train
front raises,-6ePGACa28k,3,13,train
wrapping present,-6fbWHuoX1s,389,399,train
headbanging,-6hrJT07lKk,64,74,train
shaking head,-6oPU9T5y1I,0,10,train
sled dog racing,-6pdXuaNA88,0,10,train
pushing car,-6rLmGwSr0w,10,20,train
bandaging,-6rd6BQQM_g,24,34,train
passing American football (in game),-6tSHjJZYTY,6,16,train
milking cow,-6u7lnRGS58,184,194,train
hammer throw,-6uNJNQKvO8,2,12,train
ice climbing,-6uc4CaBkoQ,19,29,train
riding camel,-6usjfP8hys,0,10,train
shaking head,-6wJNL8d5jA,12,22,train
walking the dog,-6wkYqjFei0,15,25,train
bookbinding,-6xAzSJcp_A,41,51,train
blowing out candles,-6xaLevd_z4,38,48,train
playing organ,-6y3YkJOxy8,195,205,train
whistling,-6y_pEz6SIo,23,33,train
cooking chicken,-6zh0xWFWT4,36,46,train
stretching arm,-6zujL8vGGg,0,10,train
faceplanting,-70nvwi_zNw,34,44,train
playing harp,-73SX7Svd2g,0,10,train
doing nails,-78VoDdVZqI,2,12,train
feeding birds,-7BVb-zigbA,15,25,train
punching person (boxing),-7CK7Pv9a44,138,148,train
swimming butterfly stroke,-7CUmysoRwA,15,25,train
clay pottery making,-7FNdYasQDM,24,34,train
feeding fish,-7Jqn00FWHA,112,122,train
air drumming,-7QDJQU657I,1,11,train
opening present,-7QhBZO3t-A,5,15,train
playing guitar,-7SwhiYPNkI,26,36,train
dancing macarena,-7__u70jRAg,40,50,train
golf putting,-7a1j_Q6PUk,30,40,train
trapezing,-7d0JdV6zoU,158,168,train
making jewelry,-7duEtZ0WU8,519,529,train
shining shoes,-7e9jqhnf98,383,393,train
parasailing,-7eLQfN3Tw4,84,94,train
hammer throw,-7fdpW4lwUs,104,114,train
stretching arm,-7hc0sLLWs8,30,40,train
presenting weather forecast,-7kDQ5Yy1og,46,56,train
abseiling,-7kbO0v4hag,107,117,train
contact juggling,-7lxDPdoTB0,32,42,train
kitesurfing,-7mSbonr-9k,51,61,train
playing trombone,-7mzCq3m6mQ,22,32,train
sailing,-7tEDHikdN0,54,64,train
pumping fist,-7tYdJAoVrc,29,39,train
strumming guitar,-7tpiWcn64g,48,58,train
opening present,-7v78zoqTrU,49,59,train
parasailing,-7v9I2psvFk,768,778,train
gymnastics tumbling,-7vg39JRcOI,0,10,train
snorkeling,-7vps7GPZ6s,4,14,train
trapezing,-7wGQZhgFJo,76,86,train
ice skating,-7wX0TAcnwc,2,12,train
eating cake,-7yNDPMfE4Q,6,16,train
riding elephant,-7yP-JTSHj0,11,21,train
hula hooping,-7zR7AFd8nQ,16,26,train
clean and jerk,-7zwbDtxAog,16,26,train
doing nails,-8-dVM9pQ2k,16,26,train
carrying baby,-81JqO-EIo8,90,100,train
biking through snow,-81l40SY090,4,14,train
skiing (not slalom or crosscountry),-84ATLkGYf8,128,138,train
tai chi,-84sddwHIZM,276,286,train
rock climbing,-85VudI6VpU,0,10,train
playing bass guitar,-86xbR-_1E8,335,345,train
dunking basketball,-887Ct0ZIXU,4,14,train
playing saxophone,-8CTFoCnaY8,0,10,train
watering plants,-8E267pU6ZY,97,107,train
snorkeling,-8F9QuJdY1w,62,72,train
knitting,-8IO3FMqS7w,50,60,train
eating doughnuts,-8KaTipBlBY,89,99,train
blowing out candles,-8M6XG8uP_o,21,31,train
cheerleading,-8MxLnIeAG0,409,419,train
snowmobiling,-8QPIN4bKDA,575,585,train
dancing ballet,-8QuE8e9mRI,430,440,train
flipping pancake,-8S87U-FVJI,2,12,train
checking tires,-8Smxrww8a0,238,248,train
pushing wheelchair,-8UWMyYmfuM,27,37,train
stretching arm,-8UxhWDSqfs,4,14,train
dribbling basketball,-8_AxtRflmg,0,10,train
shooting basketball,-8b73CM3G5E,1,11,train
eating ice cream,-8dDh2JSy_E,3,13,train
pumping fist,-8fvlRU8aAI,157,167,train
tai chi,-8gBYxnmL3g,132,142,train
snowboarding,-8hKdGdvZdg,80,90,train
folding napkins,-8ieGoxXh0A,11,21,train
front raises,-8k3AnXTBD8,47,57,train
krumping,-8kap3Yv36A,31,41,train
air drumming,-8khhEKByEM,6,16,train
playing controller,-8m7ow29bUg,74,84,train
shooting basketball,-8mrd0zzQ-4,4,14,train
water skiing,-8n8BguY7_Y,0,10,train
playing harmonica,-8p7pwxhob8,2,12,train
playing harp,-8qfEe5m5mg,9,19,train
playing bass guitar,-8rCdhZK7rE,66,76,train
tobogganing,-8x0TiXShoE,4,14,train
playing cello,-8yJXNCnRpk,7,17,train
tapping guitar,-8zbv5k27mE,20,30,train
snowboarding,-9-4fix3fxQ,121,131,train
playing guitar,-90YUx0XA2w,69,79,train
busking,-94Ia3jqHB4,49,59,train
filling eyebrows,-94TJu9QnJQ,176,186,train
tossing salad,-96BKD_JX_0,568,578,train
feeding birds,-98DdKiwFi0,5,15,train
eating spaghetti,-997f74Tn8Q,42,52,train
shaving legs,-9A-f5vpUCc,196,206,train
trimming or shaving beard,-9C2gOJcDl8,13,23,train
tying bow tie,-9CQMA1SbbY,136,146,train
getting a tattoo,-9Ccqyo9bzw,122,132,train
cooking sausages,-9CqeuXdCvM,80,90,train
scuba diving,-9DSHbAQ3F4,104,114,train
swimming backstroke,-9F3uySCOS8,48,58,train
blowing out candles,-9GOvo_CfRw,28,38,train
throwing axe,-9I-vPAfTGs,3,13,train
walking the dog,-9L5fpps3-M,53,63,train
making jewelry,-9O6yFoHI38,265,275,train
cleaning windows,-9QfMtbGuq0,6,16,train
carrying baby,-9S9N0PxO60,328,338,train
tobogganing,-9TzYZ-7mtA,0,10,train
playing basketball,-9UwQwfuRsc,11,21,train
parkour,-9dPwyABzFQ,156,166,train
long jump,-9jYaiV_-xw,10,20,train
snatch weight lifting,-9jeLdtcJpc,65,75,train
flipping pancake,-9oHBPWsXqg,2,12,train
grooming horse,-9p3_PenmWA,118,128,train
riding mechanical bull,-9qGGkWbsX0,12,22,train
baby waking up,-9t1GeluG6w,10,20,train
hitting baseball,-9tLYGZOUM8,31,41,train
cleaning floor,-9v4IlCbtiE,1,11,train
long jump,-9v7X2M3fdc,4,14,train
playing ukulele,-9vW9OhXx4Y,50,60,train
eating watermelon,-9w1jNVB9fA,1,11,train
flying kite,-A-5wR2-u5M,16,26,train
tai chi,-A-GKfXu3I8,53,63,train
tap dancing,-A-VnQIVFLo,122,132,train
windsurfing,-A-YeDNl78o,9,19,train
tango dancing,-A1hobVvozo,161,171,train
riding mechanical bull,-A22NLs1a2I,14,24,train
bowling,-A3CcrEtLpM,0,10,train
brushing teeth,-A5zZ3XxKq8,36,46,train
breakdancing,-A6-ubbxy3w,54,64,train
pushing car,-A6Za22IHBY,2,12,train
throwing axe,-A77GiDlUg0,109,119,train
using segway,-A8RA9dZi4Y,45,55,train
front raises,-ACVCaxqWYo,0,10,train
playing squash or racquetball,-ACVixyfMwE,75,85,train
drop kicking,-ADE5ZeRSco,1,11,train
robot dancing,-ADLGQ4KR0U,19,29,train
riding elephant,-ADPxKGLQYg,6,16,train
blowing nose,-AENAqVfyDo,12,22,train
shot put,-AFUY-wuzdU,2,12,train
playing didgeridoo,-AIRuEv8TgM,318,328,train
cleaning floor,-AJHzAwk3PE,29,39,train
kicking field goal,-AKzc9zwPQE,0,10,train
playing cards,-AM9YHkjR7o,18,28,train
javelin throw,-AOP_re6SD0,8,18,train
lunge,-AQ_MQPJV84,4,14,train
washing feet,-AR-hLSb2Bk,28,38,train
ice skating,-ARFSfaoKcE,4,14,train
drinking,-ATBr1X9HRQ,190,200,train
long jump,-AW4EnNuYNI,2,12,train
extinguishing fire,-AWN6LZzqLI,42,52,train
cleaning floor,-AXEH6stPG4,14,24,train
playing tennis,-AXdgnbvdkU,24,34,train
snowboarding,-AZAa3cH6V0,142,152,train
clean and jerk,-Aaz6rNqzLk,17,27,train
ice climbing,-AetVIjLsmA,20,30,train
shoveling snow,-AexE0IVHwE,40,50,train
shaving head,-AexQV9MrLo,90,100,train
planting trees,-AgVzpylocM,134,144,train
carrying baby,-AiEBWTeJ9M,16,26,train
diving cliff,-AiFIrQGTKw,13,23,train
playing harp,-AjDkWtRFSU,45,55,train
unboxing,-AlzbNiAsPI,45,55,train
playing organ,-AmEU3mZ4-Y,156,166,train
snowboarding,-ApmVDKi5BU,87,97,train
petting animal (not cat),-As6MdOsTns,116,126,train
hockey stop,-Av_nD6hvzo,1,11,train
shearing sheep,-Awg3SHiG9g,9,19,train
front raises,-AwrTtTE7hQ,1,11,train
mowing lawn,-AwzJYrHCO4,14,24,train
contact juggling,-AxU1RV_iFg,134,144,train
picking fruit,-B14kmeX4EI,12,22,train
doing nails,-B18kFeJ3Q8,287,297,train
high jump,-B228_dxIVc,1,11,train
changing wheel,-B2CPFQLtu0,130,140,train
country line dancing,-B3ugc7t7aU,0,10,train
sharpening pencil,-B75qufAmw8,12,22,train
catching fish,-B9gY3HccMk,6,16,train
shot put,-B9lBd4S48o,3,13,train
sanding floor,-BC4ymSpog4,46,56,train
getting a haircut,-BCoVGruruc,1,11,train
crawling baby,-BDmQLOX3qc,4,14,train
playing didgeridoo,-BDvikj-5KQ,19,29,train
barbequing,-BIgUCoMCVE,140,150,train
playing cards,-BInBAEiCns,36,46,train
marching,-BLN3nHFjJU,663,673,train
playing bass guitar,-BO5TqyEvPw,23,33,train
gargling,-BOKnNKC3K4,2,12,train
baby waking up,-BObqwyrRSs,52,62,train
feeding fish,-BT1xG7BvjM,29,39,train
shaking head,-BVDmnhZFH4,3,13,train
shearing sheep,-BagREykXFM,82,92,train
pull ups,-BeQ_x-nTB8,1,11,train
tai chi,-BewRPAXatY,10,20,train
playing squash or racquetball,-BfIULwE5yc,29,39,train
cleaning windows,-Bk9MdOqzTY,23,33,train
tobogganing,-BkcYlaP_gI,3,13,train
playing saxophone,-BlHH8Gi9hc,22,32,train
scuba diving,-Blyh_hTPa0,221,231,train
skiing (not slalom or crosscountry),-BmuSpcrk3U,83,93,train
scuba diving,-BoMDLZ0a-4,35,45,train
tai chi,-BoxPG3qk5Q,0,10,train
windsurfing,-BpKyalPqsA,4,14,train
cooking chicken,-BptOURMao8,398,408,train
tai chi,-Bq-GmZ5KnA,3,13,train
celebrating,-Bt5UPvDp8g,7,17,train
golf driving,-BtQqYdMQU8,3,13,train
hitting baseball,-C31RA1mTNM,51,61,train
marching,-C32EoEW1y4,44,54,train
feeding birds,-C5aPmkmjA4,74,84,train
playing basketball,-C6gcd8PYY0,50,60,train
playing bagpipes,-C6qLnqVu5I,32,42,train
eating watermelon,-C8ar9ebUNU,1202,1212,train
grooming dog,-CDYMieF_a0,13,23,train
reading newspaper,-CFiVdQyv4E,57,67,train
salsa dancing,-CHYvPQSQwQ,152,162,train
swimming backstroke,-CIuD-A_1Ls,53,63,train
swinging legs,-CJCLLWB78o,162,172,train
taking a shower,-CLMsUh34XE,0,10,train
catching or throwing frisbee,-CM30ROUHEs,4,14,train
bookbinding,-CMo6AJhtZo,75,85,train
snowboarding,-CNY_UACaZk,36,46,train
grooming horse,-CPHycRUJfA,22,32,train
riding or walking with horse,-CQ7GWxuEUc,110,120,train
diving cliff,-CQKtdIxvxI,31,41,train
feeding goats,-CT7VD7r3gQ,4,14,train
gargling,-CTNShPi1g0,69,79,train
shaking hands,-CTeMcEZb50,151,161,train
cooking chicken,-CTvtfED6Ak,191,201,train
playing ukulele,-CYkjwFKaUk,5,15,train
pumping fist,-CaI3htIs6k,43,53,train
milking cow,-CbkApe0H-g,12,22,train
headbanging,-CboZUYHino,10,20,train
throwing discus,-CdUreNARXU,3,13,train
spray painting,-Ce6Imxcch8,50,60,train
bee keeping,-Cg72tgUTBI,635,645,train
playing paintball,-Ch536zP_Z8,7,17,train
playing chess,-CiEtxAUzGM,226,236,train
capoeira,-CineIdVOV0,461,471,train
massaging back,-CjMJ236jPQ,36,46,train
doing nails,-CnlgxPku8Y,233,243,train
using remote controller (not gaming),-CqH_vm17y0,283,293,train
yawning,-CqVQl5VZtg,7,17,train
riding mechanical bull,-Cr8jlHQsd0,6,16,train
trimming or shaving beard,-Cs_A62YTuI,29,39,train
planting trees,-Ctkh09YZ1Q,25,35,train
snatch weight lifting,-CtlRl4JQ3A,6,16,train
playing piano,-CuDMAzj4AE,62,72,train
long jump,-CuO1UBQVV4,0,10,train
abseiling,-Cv3NwxG_8g,87,97,train
brushing teeth,-CvBL3E1Qfs,9,19,train
pull ups,-CvOL6yWg5Y,3,13,train
mowing lawn,-Cw8Z-5ShUM,22,32,train
petting cat,-D03cnNac3g,12,22,train
stretching leg,-D0Ehift5UA,44,54,train
playing harmonica,-D0f4exnx9M,5,15,train
clay pottery making,-D4IN4tz4k0,1,11,train
opening bottle,-D58AHu5KFk,6,16,train
front raises,-DBjmY3Qs1U,12,22,train
catching or throwing frisbee,-DCrGkCYR28,3,13,train
playing violin,-DCyVd5Ilyk,39,49,train
baby waking up,-DDRvrUqNx0,25,35,train
dunking basketball,-DFXda5ijlA,0,10,train
motorcycling,-DG0neXk7sI,280,290,train
pushing car,-DGGte0Ht5s,1,11,train
robot dancing,-DHv1OxT1mY,51,61,train
opening bottle,-DJb37KciQc,9,19,train
playing guitar,-DL09mZHnIo,220,230,train
cleaning gutters,-DNpxXEiq1U,31,41,train
getting a haircut,-DR4HXvl1fs,22,32,train
drinking,-DTR5wQIsUE,23,33,train
slacklining,-DVSkbP_NPw,3,13,train
carving pumpkin,-DWNUwTH1k8,119,129,train
riding scooter,-DXpwD8NKy8,5,15,train
making sushi,-DZeoj_11pU,108,118,train
blowing nose,-De_GTVNO-o,17,27,train
bench pressing,-Dffz-3yZgw,22,32,train
crying,-Dk0FFQ7hiU,0,10,train
playing squash or racquetball,-Dn_Vbo9mBM,229,239,train
trapezing,-Do5IIMfqQM,102,112,train
skiing (not slalom or crosscountry),-DpKexdpFCY,107,117,train
stretching arm,-DpR1pJJD_I,63,73,train
skateboarding,-DsEjAY4MHY,10,20,train
reading book,-DsMpC5_-c4,27,37,train
high kick,-DvLehbk7TY,78,88,train
playing accordion,-DyoxbCwuB8,110,120,train
getting a haircut,-E15OESp5Pw,36,46,train
tango dancing,-E1Pn2Wr_pw,63,73,train
sled dog racing,-E3EtO4TeKE,420,430,train
roller skating,-E7dtcZkFzc,253,263,train
country line dancing,-E8Hy-2zIrs,37,47,train
dancing charleston,-E8jrCQ3fhE,19,29,train
getting a tattoo,-EA4rZuZRhI,26,36,train
playing trombone,-EACZrr00gw,34,44,train
planting trees,-EB7b-Z2ZYg,125,135,train
riding elephant,-EBIDrH1sVE,4,14,train
playing violin,-EBaSAYCDu8,41,51,train
smoking,-EDIE7Ywri0,108,118,train
bending back,-EDverSK4cE,128,138,train
getting a tattoo,-EKpX0t44pQ,63,73,train
robot dancing,-ELLDKQWTos,28,38,train
pumping fist,-EMJAdHvDzA,0,10,train
baby waking up,-EQ3sI7NWx4,3,13,train
weaving basket,-EVeFZmCT4s,276,286,train
tapping guitar,-EbdKNOYLM4,3,13,train
riding mechanical bull,-Ef69KcDcxg,16,26,train
digging,-Eh3Bruf27Y,19,29,train
shuffling cards,-EiGTBZm9qo,14,24,train
push up,-EicsYK0lxY,3,13,train
riding mechanical bull,-Ejye3wvUvw,33,43,train
riding unicycle,-EkAGBzhWe4,10,20,train
tai chi,-EnEIcYNn9Y,742,752,train
dribbling basketball,-EnWmIji1xc,120,130,train
weaving basket,-EpXU6PfMzY,246,256,train
